sample	condition
202106022_TIMS03_EVO03_PaSk_SA_HeLa_Phospho_100ug_EGF_PhosphoLiDIA_S1-C4_1_25983.d	egf_treated
202106022_TIMS03_EVO03_PaSk_SA_HeLa_Phospho_100ug_EGF_PhosphoLiDIA_S1-C7_1_25986.d	egf_treated
202106022_TIMS03_EVO03_PaSk_SA_HeLa_Phospho_100ug_EGF_PhosphoLiDIA_S1-C10_1_25989.d	egf_treated
202106022_TIMS03_EVO03_PaSk_SA_HeLa_Phospho_100ug_untreat_PhosphoLiDIA_S1-C3_1_25982.d	untreated
202106022_TIMS03_EVO03_PaSk_SA_HeLa_Phospho_100ug_untreat_PhosphoLiDIA_S1-C6_1_25985.d	untreated
202106022_TIMS03_EVO03_PaSk_SA_HeLa_Phospho_100ug_untreat_PhosphoLiDIA_S1-C12_1_25991.d	untreated
